time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-05-20T00:00:00.792435Z,26002d88,QIgtACaAbU8F3mLwqjfsf9ujL//2,0000024b0b031c97,1,867300000,7,125,4/5,-88,6.5,-1,010,20333,5
2020-05-20T00:00:03.165524Z,26002b82,QIIrACaAa08FpLSEzd3+GRBUwMi6,0000024b0b031c97,1,867100000,7,125,4/5,-108,-4.2,-1,010,20331,5
2020-05-20T00:00:09.998139Z,27007d26,QCZ9ACcABAACbxQMm3QW+kix55KiC9R/OMhYVibh,0000024b0b031c97,1,868500000,8,125,4/5,-109,-2.8,-1,010,4,2
2020-05-20T00:00:10.507072Z,26012682,QIImASYAtPUBS8rJS9a7FYrq2g==,0000024b0b031c97,1,868300000,7,125,4/5,-77,5.2,-1,010,62900,1
2020-05-20T00:00:17.682991Z,26012dc5,QMUtASYAqiEBvOYMhPKJa2bT9EHvc+TqM2iIUvYfAlHySrYYd2vWNdgBBYpZDgMdne3HRtR5dNOo7BzgNDw=,0000024b0b031c97,1,867700000,12,125,4/5,-103,-12.2,-1,010,8618,1
2020-05-20T00:00:19.487695Z,20000004,QAQAACCABLAKj0qlGKY5dtWghQ2yTCiHhP2EtYE=,0000024b0b031c97,1,868500000,7,125,4/5,-101,-9.2,-1,010,45060,10
2020-05-20T00:00:20.284006Z,-1,AGNjbm9icmFjiBkE/v9YF6iDtcNPSio=,0000024b0b031c97,1,868100000,12,125,4/5,-102,-0.2,-1,000,-1,-1
2020-05-20T00:00:22.166959Z,27000251,gFECACcAbDwFHstfDybF1cO8,0000024b0b031c97,1,867100000,8,125,4/5,-111,-6.2,-1,100,15468,5
2020-05-20T00:00:28.520140Z,26012e76,QHYuASaAYvMKva4+OShw/aqyOzopbudPeA==,0000024b0b031c97,1,867700000,12,125,4/5,-99,-8,-1,010,62306,10
2020-05-20T00:00:29.355461Z,004c0eb4,QLQOTACBAAACBQabJn4r5wcb5Y2huUgzIXhGH0KB,0000024b0b031c97,1,867300000,12,125,4/5,-97,-0.2,-1,010,0,5
2020-05-20T00:00:32.651716Z,26012682,QIImASYAtfUBWxHMACtwMajvXg==,0000024b0b031c97,1,867900000,7,125,4/5,-81,9.5,-1,010,62901,1
2020-05-20T00:00:33.616849Z,20000001,QAEAACCA3ssKmtMwY4aKHBFGIdocrGeKcGw=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-3.2,-1,010,52190,10
2020-05-20T00:00:34.185010Z,26012bfd,QP0rASaAcU8Ft/k2swknUHVnrnkZ,0000024b0b031c97,1,867300000,7,125,4/5,-101,6.5,-1,010,20337,5
2020-05-20T00:00:45.140519Z,2601288d,QI0oASbAmwMCubZj225g6aZNqhc9ddBKvybbutLHAIG3Aw==,0000024b0b031c97,1,868500000,7,125,4/5,-95,7,-1,010,923,2
2020-05-20T00:00:54.796396Z,26012682,QIImASYAtvUB7DW1b0q4j4hoJQ==,0000024b0b031c97,1,868500000,7,125,4/5,-78,8,-1,010,62902,1
2020-05-20T00:00:55.265341Z,27008211,QBGCACeADAoBl3qdrU3pEHHisQbpezpyU4LPDe+S3XhKQoku,0000024b0b031c97,1,867900000,11,125,4/5,-97,7.8,-1,010,2572,1
2020-05-20T00:00:59.591627Z,04a03403,QAM0oASApAABiAvrgkjFKeTiE1mzQp8lFJrgAV0dzNTz,0000024b0b031c97,1,868500000,7,125,4/5,-100,2,-1,010,164,1
2020-05-20T00:01:03.232193Z,27007db8,QLh9ACcAAgACH3pUbxAFTJ8yj5sVTovVOGao+ttc,0000024b0b031c97,1,867500000,8,125,4/5,-99,0.8,-1,010,2,2
2020-05-20T00:01:16.941159Z,26012682,QIImASYAt/UBrkR31MDpcAaYxg==,0000024b0b031c97,1,867500000,7,125,4/5,-81,7,-1,010,62903,1
2020-05-20T00:01:31.067152Z,fe8245a0,QKBFgv6ARAsBbf9CJlzvD+BAVV/edvK1JA072BVA+2Po+fY4AS1A49Zzrg==,0000024b0b031c97,1,868500000,12,125,4/5,-109,-15,-1,010,2884,1
2020-05-20T00:01:31.734498Z,2700821f,gB+CACeAywEoLDz6NQEsp+8/Fw0CmlDnYO6FSQ==,0000024b0b031c97,1,867900000,9,125,4/5,-108,-14.2,-1,100,459,40
2020-05-20T00:01:32.684890Z,003c910f,QA+RPACALwUFSMOrmWwnwDKbuQbISl7m/1PSgZk=,0000024b0b031c97,1,867100000,9,125,4/5,-107,-10.8,-1,010,1327,5
2020-05-20T00:01:34.945305Z,fe8245b5,QLVFgv6ANgkBxnlMsCJYNGfTahubHuJHtvWClA1EKtThzBqGRu8g0p5iFA==,0000024b0b031c97,1,868500000,12,125,4/5,-103,-9.5,-1,010,2358,1
2020-05-20T00:01:35.799496Z,035028dd,QN0oUAOAbwMBEIfJvtrYDtXcFG8NLsL+eqWshx6xztiWyCTGzsVxuDKbX5UfNWuEsgfwGFboYNFHwyNTjNeWLwM=,0000024b0b031c97,1,868100000,7,125,4/5,-101,4,-1,010,879,1
2020-05-20T00:01:39.085734Z,26012682,QIImASYAuPUBMr9Nxa2G0C0CKQ==,0000024b0b031c97,1,867100000,7,125,4/5,-79,8.8,-1,010,62904,1
2020-05-20T00:01:39.395015Z,20000002,QAIAACCA68wK+I3kenZGsNCbtBikQUw7d7k=,0000024b0b031c97,1,868500000,7,125,4/5,-108,-8.2,-1,010,52459,10
