eps,min_samples,runtime_ms,cpu_time_s,peak_ram_mb,n_clusters,n_noise,anomalies_detected,normals_detected,cluster_sizes
0.05,50,12.0,0.0156,0.5,0,1822,1822,0,{-1: 1822}
0.1,50,13.0,0.1875,0.5,0,1822,1822,0,{-1: 1822}
0.15,50,18.0,0.1719,0.5,0,1822,1822,0,{-1: 1822}
0.2,50,21.0,0.2188,0.5,1,1471,1471,351,"{-1: 1471, 0: 351}"
0.25,50,23.0,0.3281,0.5,5,1015,1015,807,"{0: 474, 2: 33, -1: 1015, 1: 58, 3: 126, 4: 116}"
0.3,50,25.0,0.1562,0.5,3,750,750,1072,"{0: 566, 1: 138, -1: 750, 2: 368}"
0.35,50,27.0,0.3594,0.53,5,454,454,1368,"{0: 620, 1: 180, -1: 454, 3: 82, 2: 418, 4: 68}"
0.4,50,30.0,0.4375,0.57,4,372,372,1450,"{0: 644, 1: 208, -1: 372, 3: 170, 2: 428}"
0.45,50,32.51,0.3906,0.59,4,299,299,1523,"{0: 653, 1: 243, -1: 299, 2: 187, 3: 440}"
0.5,50,34.0,0.375,0.61,4,218,218,1604,"{0: 667, 1: 281, -1: 218, 2: 213, 3: 443}"
0.55,50,30.0,0.3438,0.63,4,145,145,1677,"{0: 670, 1: 327, -1: 145, 3: 446, 2: 234}"
0.6,50,34.0,0.3906,0.64,4,111,111,1711,"{0: 675, 1: 343, -1: 111, 3: 448, 2: 245}"
0.65,50,36.51,0.4531,0.65,2,90,90,1732,"{0: 1028, -1: 90, 1: 704}"
0.7,50,36.0,0.3594,0.66,2,84,84,1738,"{0: 1031, -1: 84, 1: 707}"
0.75,50,36.0,0.6406,0.66,2,80,80,1742,"{0: 1031, -1: 80, 1: 711}"
0.8,50,37.0,0.5625,0.67,2,75,75,1747,"{0: 1034, -1: 75, 1: 713}"
0.85,50,37.05,0.4062,0.67,2,73,73,1749,"{0: 1034, -1: 73, 1: 715}"
